MapId	X	Y	Vx	Vy	NumSamples
508	38700	-31800	-0.576573013590717	-0.310785731798566	2655
508	16800	-58500	0.0410193113331128	0.191435629342388	3120
508	18000	-50400	-0.0135266464914262	0.100448467145102	4029
508	17400	-45300	-0.0548371300089875	0.113782720249383	9769
508	11400	-55500	0.0991534821411356	0.164793258871234	3284
508	14400	-52500	-0.00176229082464231	0.0663257821337545	3758
508	15600	-60600	0.252484278021366	0.281640936890564	740
508	19200	-59400	-0.19353323690823	0.296648650891775	1773
508	15900	-60300	0.101724790239503	0.215429169322534	1206
508	25800	-46800	0.00645893255701577	0.110514194501853	2748
508	15900	-57300	-0.0355957957049506	-0.395670692524075	1121
508	11400	-60000	0.182683662671692	0.228171621606109	967
508	15000	-58500	0.151664024302507	0.0355990300089923	1974
508	18000	-59100	-0.0723946727389605	0.107933689303453	2689
508	18300	-60300	-0.0897748923736028	0.254990385945063	1500
508	14100	-57900	-0.179820645889485	0.171135715991703	1743
508	10200	-59400	0.421523758996377	0.111243587110464	481
508	12600	-57000	-0.00272314294495452	-0.0283789612654959	2071
508	13500	-59400	-0.0193265896055816	0.161520950253328	1584
508	12300	-63600	-0.127726318180561	-0.102912926519699	524
508	13500	-59700	-0.0439669559698349	0.15037870549015	1445
508	10800	-57600	0.171325752358851	0.0575341283123978	1729
508	12900	-62400	-0.116890908827763	-0.302202185206289	720
508	13800	-60600	0.0629123991980136	0.153575682119951	978
508	17700	-45900	0.00600760496536766	-0.059344667315002	10694
508	16500	-46200	0.090183061789596	-0.186111744335185	7507
508	19500	-50100	-0.239046069275515	0.322202658944527	2504
508	17700	-51300	0.0189522670826595	0.15275706137528	3394
508	15000	-46200	0.334618260640226	-0.0732630702628604	5965
508	12600	-48600	0.273121881319464	-0.193848296397708	1303
508	12000	-37200	-0.30750810156255	-0.216835983492297	782
508	14100	-30300	0.0447898281490987	-0.162798859323041	5335
508	18300	-34800	-0.00475484076684832	-0.450432762922249	9836
508	10500	-38400	-0.0554176884430131	0.0285254538393486	8960
508	24600	-33600	-0.33955120743831	-0.134470496939587	5709
508	12600	-31200	-0.242555696542466	-0.276813631937667	178
508	19800	-34200	-0.442101854920708	0.0432388774663806	4989
508	10800	-35100	0.568550272559381	0.234304285723654	5871
508	19200	-30000	-0.308666020293007	-0.0786041368879962	1749
508	14100	-30600	-0.00169115410717482	-0.186292786567007	5528
508	17400	-30000	-0.0326029368327542	-0.290484765328388	6679
508	9600	-34500	0.149083120025986	-0.319734899709087	7290
508	15300	-29700	-0.120323270046881	-0.205787984487592	4400
508	19800	-38700	0.0395365354389247	0.329767413388155	1736
508	13200	-33000	-0.0492907336076281	-0.112683183848845	4271
508	22500	-33900	-0.2241161743317	0.0230994645635515	5885
508	22500	-31500	0.0354702874527086	-0.184183320092006	2322
508	18600	-29400	-0.23306894179263	-0.188869165804888	2391
508	18300	-38700	-0.0177960289250594	0.000340782776000203	4088
508	23100	-38400	-0.0278582234319614	-0.0325126786123235	1760
508	18300	-40200	0.146727197341008	-0.0928708337757914	2500
508	19800	-39900	-0.210778699035856	0.16359709734413	3864
508	16500	-38100	0.0354091223703271	-0.0989635861594352	3066
508	25500	-39600	-0.178727621545494	0.159771686384152	484
508	26100	-44100	-0.0319587821701542	-0.0306109412060676	2680
508	25800	-43200	-0.0267005620493747	0.0299366227427066	2839
508	25500	-43500	0.0603837903170569	-0.157279582510949	2516
508	30000	-37200	-0.384730833277066	-0.229531601523553	2140
508	22200	-43800	0.292237080132303	0.195267870505368	943
508	15900	-35400	0.31675260637899	-0.620587524943316	4270
508	24000	-39000	-0.0119157578105158	-0.137797087574356	2231
508	27600	-41100	-0.110010824122907	-0.113070717006159	1693
508	27000	-41700	-0.274621982387248	-0.354614301229549	1523
508	22800	-46500	-0.00272746274450821	0.0182856832431993	2196
508	18000	-44100	-0.0179760013678053	0.00284408124362714	5315
508	19200	-40800	-0.0324550497166209	-0.0280016154245878	4141
